,Number,Uzbek,in English,Number of occurance
31,32,va,and,1064
147,148,ham,too,943
13,14,bir,one,628
9,10,bilan,with,606
30,31,uchun,to,365
126,127,juda,very,365
6,7,uchun,for,365
4,5,u,he,304
149,150,u,she,304
24,25,u,it,304
116,117,yil,year,267
15,16,bu,this,241
101,102,yangi,new,230
835,836,yangi,fresh,230
296,297,avtomobil,car,216
949,950,davom,continue,206
65,66,katta,large,188
72,73,katta,big,188
171,172,uni,him,179
609,610,kamida,least,166
456,457,yuz,hundred,163
270,271,yuz,face,163
392,393,olib,bring,152
388,389,olib,brought,152
184,185,eng,most,147
575,576,saqlab,kept,145
497,498,sovuq,cold,142
406,407,kuz,fall,139
90,91,yana,again,138
205,206,mamlakat,country,138
870,871,muvofiq,proper,138
55,56,yaxshi,well,132
120,121,yaxshi,good,132
166,167,uning,her,131
2,3,uning,his,131
573,574,yovvoyi,wild,118
433,434,yashil,green,118
288,289,ular,those,116
10,11,ular,they,116
33,34,ichida,in,114
445,446,aniq,clear,112
404,405,aniq,certain,112
606,607,aniq,exact,112
706,707,oshirish,raise,107
622,623,oshirish,rise,107
638,639,teng,equal,106
747,748,tabiiy,natural,106
335,336,yarim,half,104
804,805,yaratish,create,102
801,802,zarur,necessary,100
354,355,qolish,stay,99
709,710,yoki,whether,97
26,27,yoki,or,97
720,721,yoki,either,97
482,483,qarshi,against,92
951,952,sxema,chart,92
169,170,narsa,thing,89
789,790,elektr,electric,87
477,478,bir necha,several,86
230,231,qiyin,hard,85
914,915,ayniqsa,especially,84
154,155,foydalanish,use,82
442,443,maxsus,special,81
192,193,birinchi,first,78
25,26,siz,you,73
89,90,bizga,us,72
786,787,odam,human,68
115,116,odam,man,68
219,220,davlat,state,67
487,488,shaxs,person,66
307,308,hech,ever,66
603,604,qabul,receive,65
17,18,tomonidan,by,65
279,280,boshlanishi,begin,64
360,361,qaror,decide,61
907,908,qaror,solution,61
623,624,yomon,bad,59
172,173,ikki,two,58
35,36,mumkin,can,58
194,195,mumkin,may,58
373,374,mumkin,possible,58
76,77,ish,act,57
102,103,ish,work,57
587,588,gaz,gas,57
579,580,ish,job,57
521,522,farq,vary,56
137,138,farq,differ,56
514,515,sabab,reason,55
139,140,sabab,cause,55
0,1,sifatida,as,54
150,151,hamma,all,53
21,22,nima,what,52
40,41,nima,do,52
589,590,oy,month,50
363,364,oy,moon,50
20,21,lekin,but,49
834,835,muhim,major,49
143,144,harakat,move,47
891,892,harakat,motion,47
854,855,taqsimlash,division,47
901,902,shakar,sugar,46
331,332,sodir,happen,46
970,971,paxta,cotton,46
885,886,sodir,occur,46
180,181,qilgan,did,45
193,194,kim,who,45
302,303,qiz,girl,44
759,760,faoliyat,operate,43
202,203,xususiy,own,43
796,797,shunday,thus,42
729,730,qonun,law,42
164,165,shunday,so,42
11,12,bo’lishi,be,42
967,968,tashkil,arrange,42
117,118,kelgan,came,41
379,380,ming,thousand,41
37,38,boshqa,other,40
1,2,men,I,38
145,146,bola,boy,38
757,758,askar,soldier,37
52,53,uch,three,37
604,605,qator,row,37
755,756,boy,rich,36
304,305,yosh,young,36
674,675,yosh,age,36
664,665,yosh bola,child,35
200,201,bosh,head,35
49,50,aytib,tell,34
488,489,pul,money,32
176,177,kun,day,32
839,840,kun,gun,32
14,15,bor,have,31
173,174,bor,has,31
280,281,bor,got,31
128,129,faqat,just,31
840,841,ruxsat,allow,31
224,225,ruxsat,let,31
8,9,bor,are,31
113,114,faqat,only,31
342,343,aytdi,told,31
27,28,bor,had,31
100,101,har qanday,any,30
985,986,ustun,column,29
141,142,degani,mean,29
905,906,ayollar,women,28
42,43,vaqt,time,28
685,686,kambag’al,poor,27
716,717,soch,hair,27
811,812,solishtirish,compare,27
751,752,yo’q,won’t,27
183,184,yo’q,no,27
212,213,o’rganish,learn,27
152,153,qachon,when,27
210,211,o’rganish,study,27
207,208,javob,answer,26
883,884,javob,reply,26
390,391,qor,snow,26
285,286,guruh,group,25
787,788,tarix,history,25
893,894,suyuq,liquid,24
204,205,kerak,should,24
612,613,tashqari,except,24
85,86,kerak,need,24
71,72,kerak,must,24
348,349,qirol,king,23
185,186,odamlar,people,23
453,454,yaxshiroq,better,23
305,306,tayyor,ready,23
476,477,oddiy,simple,22
123,124,bizning,our,22
222,223,hech qachon,never,22
303,304,oddiy,usual,22
617,618,taklif,suggest,21
250,251,kitob,book,21
998,999,talab,claim,21
991,992,talab,require,21
119,120,har bir,every,20
292,293,xat,letter,20
